[Data] [wbn.inp]
ID  X           Y           THMs    Chlorine
H01	33.37930333	35.11908833	89.53	0.51
H02	33.37915167	35.11907667	101.13	0.58
H03	33.37989667	35.11882667	84.54	0.49
H04	33.38280167	35.12016333	53.89	0.26
H05	33.37963167	35.11886833	72.69	0.52
H06	33.37951667	35.11871833	96.47	0.46
H07	33.37959667	35.11863833	42.09	0.17
H08	33.37949167	35.118535	37.59	0.51
H09	33.37848833	35.11751	90.32	0.30
H10	33.37867333	35.11728667	98.09	0.25
H11	33.37888	35.11722667	76.49	0.10
H12	33.37941167	35.11881833	74.03	0.52
H13	33.38005167	35.11855167	62.84	0.51
H15	33.38199667	35.11950667	60.96	0.37
H16	33.38051167	35.12145167	49.21	0.48
H18	33.381095	35.12166833	32.30	0.33
H19	33.38115	35.12168833	70.45	0.27
H20	33.37912333	35.119195	52.58	0.15
H22	33.38106833	35.11952667	12.20	0.23
H23	33.38189	35.11954167	48.41	0.38
H24	33.38106	35.119425	80.31	0.25
H29	33.38282833	35.11931333	88.50	0.58
H30	33.37927	35.11887	60.01	0.25
H31	33.38167833	35.11976833	78.18	0.25
H32	33.38153333	35.11968	62.62	0.23
H33	33.38553333	35.11074167	34.58	0.29
H34	33.38545167	35.110985	55.23	0.23
H35	33.38554167	35.11067667	54.23	0.08
H36	33.38584667	35.11053833	66.16	0.18
H37	33.38549	35.11672167	59.09	0.41
H38	33.38526833	35.11676	77.18	0.40
H39	33.38177167	35.11906167	69.79	0.33
H40	33.37914167	35.11369333	60.29	0.13
H41	33.37932	35.11366167	73.75	0.30
H42	33.37675333	35.10837833	101.11	0.32
H44	33.37671	35.10832333	107.67	0.46
H46	33.37671	35.10832333	54.57	0.32
H48	33.383085	35.12051333	64.64	0.24
H49	33.37880833	35.11454333	81.69	0.36
H51	33.37880667	35.11451833	96.68	0.09
H52	33.38316167	35.11970167	54.57	0.27
H53	33.38316	35.119675	78.41	0.21
H54	33.378725	35.11473	83.48	0.06
H56	33.38314333	35.12035167	93.71	0.59
H57	33.39064333	35.10755833	104.14	0.30
H58	33.37782167	35.11466833	97.82	0.36
H59	33.37787	35.11468167	58.03	0.37
H60	33.37783833	35.11487	124.25	0.19
H61	33.37848	35.11506333	118.17	0.35
H62	33.373625	35.10150833	67.38	0.22
H63	33.37962333	35.11871833	100.05	0.31
H64	33.37951333	35.11889667	101.74	0.29
H65	33.38351167	35.11843167	84.67	0.37
H66	33.38059833	35.11844167	56.73	0.41
H67	33.38436167	35.11540833	79.80	0.38
H68	33.38454333	35.11933333	77.72	0.32
H69	33.38465667	35.1193	97.82	0.28
H70	33.38416833	35.11536167	101.67	0.39
H71	33.38368167	35.11482833	100.23	0.16
H72	33.384035	35.11530333	82.54	0.45
H73	33.384915	35.11640667	59.91	0.38
H74	33.38484667	35.11626	80.38	0.37
H75	33.38403667	35.11602667	83.56	0.41
H76	33.384535	35.116845	76.41	0.13
H77	33.38449333	35.11714667	63.56	0.39
H78	33.38482833	35.116135	86.06	0.24
H79	33.384945	35.11172667	92.68	0.34
H80	33.38483167	35.111745	76.62	0.35
H81	33.38484167	35.11174833	109.26	0.29
H82	33.38499333	35.11207667	78.52	0.38
H83	33.384935	35.11218333	61.98	0.19
H84	33.38480333	35.11179833	84.00	0.45
H86	33.38441333	35.11089333	104.40	0.35
H87	33.38453833	35.11684167	115.59	0.06
H88	33.380215	35.11628667	61.21	0.06
L01	33.39027333	35.19163667	52.62	0.08
L02	33.38977667	35.191795	22.60	0.03
L03	33.38925167	35.191155	86.30	0.17
L05	33.38939667	35.19132	42.22	0.30
L06	33.39547333	35.18755833	53.67	0.38
L07	33.39548167	35.18755667	42.05	0.44
L08	33.39541167	35.18738333	23.83	0.04
L09	33.39526167	35.18719667	42.41	0.25
L10	33.39259667	35.19062667	42.08	0.02
L11	33.39149833	35.18856833	70.30	0.43
L12	33.38929833	35.18892667	57.08	0.06
L13	33.38977833	35.18943333	52.98	0.41
L15	33.39227667	35.19033333	63.46	0.08
L16	33.39230333	35.19047833	47.12	0.24
L17	33.38512667	35.18897333	55.93	0.29
L18	33.39035	35.19158167	56.47	0.24
L19	33.39028333	35.19168167	49.17	0.27
L20	33.39165833	35.18833333	58.77	0.06
L21	33.38841833	35.18853833	23.89	0.53
L22	33.38161667	35.19279667	38.83	0.07
L23	33.38319333	35.18883	8.66	0.02
L24	33.38097333	35.19021167	108.89	0.27
L25	33.38535833	35.19304333	85.87	0.56
L30	33.38953667	35.19168833	22.19	0.09
L31	33.39162167	35.19181333	36.76	0.33
L32	33.39080833	35.19191667	28.02	0.40
L42	33.38952667	35.19185333	37.48	0.21
L43	33.39023	35.19227167	46.96	0.41
L49	33.38773167	35.19373333	55.03	0.46
L59	33.38446333	35.18804167	69.72	0.33
L60	33.38441333	35.19179667	70.00	0.41
L61	33.39102167	35.19170333	80.22	0.33
L62	33.39098	35.19175833	67.16	0.28
L63	33.39095833	35.19156833	67.52	0.32
L64	33.39062667	35.19182	27.19	0.02
L65	33.38899333	35.19026833	21.54	0.06
L66	33.39096	35.19183333	61.06	0.30
L67	33.39157833	35.19225333	57.96	0.27
L68	33.38566333	35.19239833	38.63	0.41
L69	33.382375	35.193195	60.84	0.18
L70	33.386715	35.19217333	72.36	0.48
L71	33.38723667	35.19074833	79.27	0.36
L72	33.39145333	35.18748333	53.03	0.38
L73	33.38578667	35.19245667	98.06	0.55
L74	33.38783833	35.19245167	69.09	0.22
L75	33.39029333	35.19094	41.48	0.44
L76	33.38675667	35.18697667	51.45	0.43
L77	33.38951	35.19165167	59.29	0.31
L78	33.38631167	35.1916	79.59	0.38
L79	33.38314833	35.18733167	23.19	0.10
L80	33.39219667	35.18974	58.15	0.39
L81	33.38683333	35.19222167	65.60	0.28
L82	33.38643167	35.19260333	70.43	0.33
L83	33.384385	35.19177833	59.85	0.51
L84	33.384425	35.19175333	48.50	0.38
L85	33.38450667	35.19159333	104.34	0.49
L86	33.38686167	35.19095333	8.18	0.09
L87	33.38400167	35.19133	62.94	0.23
L88	33.383975	35.19093	66.10	0.14
L89	33.388515	35.186705	65.67	0.16
L91	33.39212833	35.18971667	78.39	0.68
L92	33.39254667	35.18979667	98.33	0.46
L93	33.384255	35.19138833	60.82	0.38
L94	33.38738333	35.19072833	57.91	0.15
L95	33.39217833	35.18967333	77.98	0.56
L96	33.39052167	35.18883167	79.22	0.53
L97	33.38648167	35.19483833	52.83	0.29
L98	33.38645167	35.19478333	67.23	0.25
L99	33.38644667	35.19474	102.51	0.26
L100	33.38954667	35.19185667	51.45	0.24
L101	33.38275333	35.18759833	61.77	0.33
L102	33.39034	35.18903167	52.82	0.24
L103	33.391295	35.19197167	49.56	0.25
L104	33.38821333	35.19305667	59.54	0.25
L105	33.38490167	35.19226167	8.75	0.05
